"Service","EC2-Instances($)","DynamoDB($)","Tax($)","EC2-Other($)","Elastic Container Service($)","VPC($)","Relational Database Service($)","Elastic MapReduce($)","Lambda($)","Secrets Manager($)","S3($)","CloudWatch($)","EC2 Container Registry (ECR)($)","Textract($)","Glue($)","Elastic Load Balancing($)","SES($)","Athena($)","Step Functions($)","CloudFront($)","CloudShell($)","API Gateway($)","SNS($)","Key Management Service($)","SQS($)","Service Catalog($)","Cognito($)","DataZone($)","Rekognition($)","CloudWatch Events($)","AppSync($)","Amplify($)","Total costs($)"
"2024-02-01","0","0.3057232789","30.26","1.0866640821","0.5956328898","0.9608362033","0.00213059","","0.0000005446","0.0703855168","0","0","0","","","0.0000076823","0","","0","0","","0","0","0","0","","0","","","","0","0","33.2813807878"
"2024-02-02","0","0.018816339","","1.0848423182","0.5955160885","0.9612959186","0.00213059","","0.0000000799","0.0696655168","0.008525","0","0.0095677299","","","0.0000044055","","","0","0","","0","","0","0","","0","","","","0","0","2.7503639864"
"2024-02-03","0","0.0149609731","","1.0861251106","0.595104","0.9600001805","0.00213059","","0.0000000199","0.0689655168","0","0","0.0298441032","","","0.0000120815","0","","","0","","0","","","0","","0","","","","","0","2.7571425756"
"2024-02-04","0","0.0135386279","","1.0860703142","0.595104","0.9600000887","0.00213059","","0.0000000058","0.0689655168","0.00001","0","0.0298441032","","","0.0000082002","","","","0","","0","","","0","","","","","","","0","2.7556714468"
"2024-02-05","0","0.0161183742","","1.087167111","0.595104","0.9600000903","0.00213059","","0.0000000256","0.0646433904","0.02091","0","0.0298441032","","","0.0000014923","0","","0","0","","0","","0","0","","0","","","","0","0","2.775919177"
"2024-02-06","0","2.2224284071","","1.0881906291","0.5959291694","0.9600000903","0.00213059","","0.0000000147","0.0701155168","0.059205","0","0.029891858","","","0.0000049923","0","","","0","","0","","0","0","","0","","","","0","0","5.0278962677"
"2024-02-07","0","0.7930678348","","1.0856314161","0.5959128729","0.9600000881","0.00213059","","0.0000000027","0.0699305168","0.019869445","0","0.0301821045","","","0.0000102949","","","","0","","0","","0","0","","","","","","0","0","3.5567351658"
"2024-02-08","0","0.0184612958","","1.0863579789","0.5952848206","0.9600000886","0.00213059","","0.0000000024","0.0692305168","0.1574324411","0","0.030444984","","","0.0000224208","","","","0","","0","","0","0","","0","","","","0","0","2.919365139"
"2024-02-09","0","0.0192965363","","1.0878760493","0.5960889171","0.9600000884","0.00213059","","0.0000000026","0.0692455168","0.0187175371","0","0.0305511541","","","0.0000032928","","","","0","","0","","0","0","","","","","","0","0","2.7839096845"
"2024-02-10","0","0.0137082251","","1.0839621307","0.5951153466","0.9600000878","0.0814411042","","0.0000000049","0.0689655168","0.0183175376","0","0.0308456784","","","0.0000022849","","","","0","","0","","","0","","","","","","","0","2.852357917"
"2024-02-11","0","0.0145647972","","1.0848821966","0.5956351712","1.1814209278","0.9540616244","","0.0000000024","0.0689655168","0.0183075376","0","0.0308456784","","","0.0000044199","","","","0","","0","","","0","","","","","","","0","3.9486878723"
"2024-02-12","0","0.0138942666","","1.0845079367","0.5951278257","1.3200000878","1.5790138701","","0.0000000024","0.0660919536","0.0183225376","0","0.0308456784","","","0.0000228466","","","","0","","0","","0","0","","","","","","","0","4.7078270055"
"2024-02-13","0","0.0157938038","","1.0849704132","0.595104","1.3200000879","1.9513720283","","0.0000000025","0.0690655168","0.0221675376","0","0.0308456784","","","0.0000068963","","","0","0","","0","","0","0","","0","","","","0","","5.0893259648"
"2024-02-14","0","0.0171441405","","1.0849400083","0.5964320346","1.3218139785","1.9513719692","","0.0000000025","0.0691055168","0.0991629473","0","0.0308456784","","","0.0000026315","0","","","0","","0","","0","0","","0","","","","0","","5.1708189076"
"2024-02-15","0","0.0282079575","","1.0882382702","0.5979146589","1.325637593","1.9513719699","","0.0000000044","0.0660919536","0.0183082298","0","0.0308456784","","","0.0013939114","","","","0","","0","","0","0","","","","","","0","","5.1080102271"
"2024-02-16","0","0.0302332126","","1.0865621378","0.5963346734","1.3953778675","1.9513719692","","0.0000000056","0.0690705168","0.0184082298","0","0.0308456784","","","0.0000018411","","","","0","","0","","0","0","","0","","","","0","0","5.1782061322"
"2024-02-17","0","0.0158882818","","1.0871260382","0.59640542","1.4400001789","1.9513719692","","0.000000018","0.0691005168","0.0183082276","0","0.0308456784","","","0.0000064328","0","","","0","","0","","0","0","","","","","","0","","5.2090527617"
"2024-02-18","0","0.0206035593","","1.0868425149","0.5962429077","1.4412389784","1.9513719692","","0.0000000031","0.0689705168","0.0183182276","0","0.0308456784","","","0.0000017651","","","","0","","0","","0","0","","","","","","0","","5.2144361205"
